"","description","NUTS_ID","area_total","LEVL_CODE","CNTR_CODE","NAME_LATN","NUTS_NAME","MOUNT_TYPE","URBN_TYPE","COAST_TYPE","FID"
"91","Pastures, meadows and other permanent grasslands under agricultural use","DE72",1598915661.2183,2,"DE","Gießen","Gießen",0,NA,0,"DE72"
"92","Pastures, meadows and other permanent grasslands under agricultural use","DE73",2472728848.4119,2,"DE","Kassel","Kassel",0,NA,0,"DE73"
"93","Pastures, meadows and other permanent grasslands under agricultural use","DE80",4175396081.5804,2,"DE","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern",0,NA,0,"DE80"
"94","Pastures, meadows and other permanent grasslands under agricultural use","DE91",1014004002.3781,2,"DE","Braunschweig","Braunschweig",0,NA,0,"DE91"
"95","Pastures, meadows and other permanent grasslands under agricultural use","DE92",1134738230.28675,2,"DE","Hannover","Hannover",0,NA,0,"DE92"
"96","Pastures, meadows and other permanent grasslands under agricultural use","DE93",3829137933.0203,2,"DE","Lüneburg","Lüneburg",0,NA,0,"DE93"
"97","Pastures, meadows and other permanent grasslands under agricultural use","DE94",4286886644.04912,2,"DE","Weser-Ems","Weser-Ems",0,NA,0,"DE94"
"98","Pastures, meadows and other permanent grasslands under agricultural use","DEA1",875939507.672699,2,"DE","Düsseldorf","Düsseldorf",0,NA,0,"DEA1"
"99","Pastures, meadows and other permanent grasslands under agricultural use","DEA2",1863010654.43145,2,"DE","Köln","Köln",0,NA,0,"DEA2"
"100","Pastures, meadows and other permanent grasslands under agricultural use","DEA3",976308408.319216,2,"DE","Münster","Münster",0,NA,0,"DEA3"
"101","Pastures, meadows and other permanent grasslands under agricultural use","DEA4",1058252571.53045,2,"DE","Detmold","Detmold",0,NA,0,"DEA4"
"102","Pastures, meadows and other permanent grasslands under agricultural use","DEA5",1928879561.96585,2,"DE","Arnsberg","Arnsberg",0,NA,0,"DEA5"
"103","Pastures, meadows and other permanent grasslands under agricultural use","DEB1",2015621635.3409,2,"DE","Koblenz","Koblenz",0,NA,0,"DEB1"
"104","Pastures, meadows and other permanent grasslands under agricultural use","DEB2",1419380309.84606,2,"DE","Trier","Trier",0,NA,0,"DEB2"
"105","Pastures, meadows and other permanent grasslands under agricultural use","DEB3",885896064.152109,2,"DE","Rheinhessen-Pfalz","Rheinhessen-Pfalz",0,NA,0,"DEB3"
"106","Pastures, meadows and other permanent grasslands under agricultural use","DEC0",646869493.281087,2,"DE","Saarland","Saarland",0,NA,0,"DEC0"
"107","Pastures, meadows and other permanent grasslands under agricultural use","DED2",1162142316.57661,2,"DE","Dresden","Dresden",0,NA,0,"DED2"
"108","Pastures, meadows and other permanent grasslands under agricultural use","DED4",1183358463.72447,2,"DE","Chemnitz","Chemnitz",0,NA,0,"DED4"
"109","Pastures, meadows and other permanent grasslands under agricultural use","DED5",428859986.691665,2,"DE","Leipzig","Leipzig",0,NA,0,"DED5"
"110","Pastures, meadows and other permanent grasslands under agricultural use","DEE0",2794748892.37036,2,"DE","Sachsen-Anhalt","Sachsen-Anhalt",0,NA,0,"DEE0"
"111","Pastures, meadows and other permanent grasslands under agricultural use","DEF0",4388530041.93469,2,"DE","Schleswig-Holstein","Schleswig-Holstein",0,NA,0,"DEF0"
"112","Pastures, meadows and other permanent grasslands under agricultural use","DEG0",2721682821.23247,2,"DE","Thüringen","Thüringen",0,NA,0,"DEG0"
"113","Vineyards","DE11",145973868.75995,2,"DE","Stuttgart","Stuttgart",0,NA,0,"DE11"
"114","Vineyards","DE12",42026098.4637,2,"DE","Karlsruhe","Karlsruhe",0,NA,0,"DE12"
"115","Vineyards","DE13",173628013.959524,2,"DE","Freiburg","Freiburg",0,NA,0,"DE13"
"116","Vineyards","DE14",6363653.58865,2,"DE","Tübingen","Tübingen",0,NA,0,"DE14"
"117","Vineyards","DE25",4328890.66155,2,"DE","Mittelfranken","Mittelfranken",0,NA,0,"DE25"
